truck,seq,id,tienda,tipo,arrival_seconds,load_after_cbm,meters
8,11,STOP::ENTRONQUE,ENTRONQUE,STOP,10420,2.7,23404.4
8,12,STOP::AMAZONAS,AMAZONAS,STOP,11834,3.6,12097.5
8,13,STOP::DEZA_Y_ULLOA,DEZA Y ULLOA,STOP,13185,4.5,7024.9
8,14,STOP::INSURGENTES,INSURGENTES,STOP,13452,5.4,6645.0
8,15,STOP::HUANCUNE,HUANCUNE,STOP,13878,6.3,4457.7
8,16,STOP::COLON,COLON,STOP,14383,7.2,4771.2
8,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,15652,0.0,19014.8
8,18,STOP::FCO._PORTILLO,FCO. PORTILLO,STOP,17585,0.9,15893.8
8,19,STOP::JESUS_RENTERIA,JESUS RENTERIA,STOP,17946,1.8,20213.7
8,20,STOP::AEROPUERTO,AEROPUERTO,STOP,18720,2.7,14792.6
8,21,STOP::LERDO,LERDO,STOP,19441,3.6,10460.9
8,22,STOP::CAROLINAS,CAROLINAS,STOP,20301,4.5,6108.9
8,23,STOP::INFONAVIT,INFONAVIT,STOP,21016,5.4,2069.1
8,24,STOP::IGLESIAS,IGLESIAS,STOP,21385,6.3,3568.5
8,25,STOP::CERRO_DE_LA_CRUZ,CERRO DE LA CRUZ,STOP,22175,7.2,14475.2
8,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,23468,0.0,19014.8
9,0,STOP::ACEROS,ACEROS,STOP,426,0.9,4933.7
9,1,STOP::GRUTAS,GRUTAS,STOP,846,1.8,5531.7
9,2,STOP::VILLAS_DEL_REAL,VILLAS DEL REAL,STOP,1398,2.7,8214.4
9,3,STOP::TRINIDAD,TRINIDAD,STOP,2009,3.6,3671.4
9,4,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,3313,0.0,19014.8
