id,tienda,tipo,latitud,longitud
STOP::PACHECO,PACHECO,STOP,28.64715337,-106.0638385
STOP::PALMAS,PALMAS,STOP,28.63456166,-106.0974593
STOP::PANAMA,PANAMA,STOP,28.65027379,-106.1078961
STOP::PANORAMICO,PANORAMICO,STOP,28.6687444,-106.1122608
STOP::PARQUE_DEL_MORO,PARQUE DEL MORO,STOP,28.66991097,-105.9789589
STOP::PARRAL,PARRAL,STOP,28.69889809,-106.1139578
STOP::PASCUAL_OROZCO,PASCUAL OROZCO,STOP,28.65561319,-106.0914698
STOP::PASEO_DEL_REAL,PASEO DEL REAL,STOP,28.74374899,-106.1262375
STOP::PASEOS,PASEOS,STOP,28.71228518,-106.134272
STOP::PEMEX,PEMEX,STOP,28.66774588,-106.0778041
STOP::PIMENTEL,PIMENTEL,STOP,28.66978269,-106.1023183
STOP::PINABETE,PINABETE,STOP,28.67690801,-106.1020549
STOP::PINOS,PINOS,STOP,28.59804526,-106.0998749
STOP::PLAN_DE_AYALA,PLAN DE AYALA,STOP,28.59583294,-105.9987161
STOP::PONCE_DE_LEON,PONCE DE LEON,STOP,28.72514867,-106.1108585
STOP::PORTAL_DEL_VALLE,PORTAL DEL VALLE,STOP,28.6020399,-105.9335344
STOP::PRIMERO_DE_MAYO,PRIMERO DE MAYO,STOP,28.62595641,-106.0758074
STOP::PUERTA_DE_HIERRO,PUERTA DE HIERRO,STOP,28.74148859,-106.1397229
STOP::PUNTA_ORIENTE,PUNTA ORIENTE,STOP,28.66407855,-105.9404148
STOP::PUNTA_ALAMILLO,PUNTA ALAMILLO,STOP,28.6621214,-105.9449618
STOP::QUINTA_REAL,QUINTA REAL,STOP,28.6749023,-105.9822077
STOP::QUINTAS,QUINTAS,STOP,28.62483351,-106.0993639
STOP::R._ALMADA,R. ALMADA,STOP,28.59423075,-106.0676258
STOP::RANCHERIA,RANCHERIA,STOP,28.60687149,-106.0111855
STOP::REAL_CAROLINAS,REAL CAROLINAS,STOP,28.74317599,-106.1378951
STOP::REAL_DE_MINAS,REAL DE MINAS,STOP,28.73361558,-106.1043892
STOP::REFORMA,REFORMA,STOP,28.65144815,-106.069257
STOP::REVOLUCION,REVOLUCION,STOP,28.70186531,-106.0999556
STOP::REYES,REYES,STOP,28.6990054,-106.1071286
STOP::RINCONADA,RINCONADA,STOP,28.68471616,-106.1421356
STOP::RINCONES,RINCONES,STOP,28.6312812,-106.1282826
STOP::RIO_AROS,RIO AROS,STOP,28.68074309,-106.0988118
STOP::ROBINSON,ROBINSON,STOP,28.65502545,-106.0518553
STOP::ROMA,ROMA,STOP,28.6736456,-106.1093568
STOP::ROMANZA,ROMANZA,STOP,28.68468075,-106.0312896
STOP::ROSALES,ROSALES,STOP,28.6467849,-106.0626213
STOP::ROSARIO,ROSARIO,STOP,28.60965744,-106.0660786
STOP::SAN_AGUSTIN,SAN AGUSTIN,STOP,28.66521957,-106.0910919
STOP::SAN_ANGEL,SAN ANGEL,STOP,28.65151661,-106.1313395
STOP::SAN_JUDAS,SAN JUDAS,STOP,28.56023448,-105.9539851
STOP::SAN_MARTIN,SAN MARTIN,STOP,28.7116281,-106.1056483
STOP::SAN_RAFAEL,SAN RAFAEL,STOP,28.62783011,-106.054467
STOP::SAN_SEBASTIAN,SAN SEBASTIAN,STOP,28.71076633,-106.153226
STOP::SANTA_RITA,SANTA RITA,STOP,28.67300213,-106.0261918
STOP::SANTUARIO,SANTUARIO,STOP,28.60307297,-106.1210235
STOP::SEMINARIO,SEMINARIO,STOP,28.62518528,-106.0831839
STOP::SAUCITO,SAUCITO,STOP,28.66618945,-106.1268199
STOP::SORBONA,SORBONA,STOP,28.64647344,-106.125143
