tienda,direccion,ciudad,latitud,longitud
PANORAMICO,"AV. JOSE MA. IGLESIAS # 5900, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6687444,-106.1122608
PARQUE DEL MORO,"AV. EQUUS Y PARQUE DEL MORO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66991097,-105.9789589
PARRAL,"CALLE CIUDAD DE PARRAL NO. 209, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69889809,-106.1139578
PASCUAL OROZCO,"AV. PASCUAL OROZCO # 923, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65561319,-106.0914698
PASEO DEL REAL,"AV. PASEO DEL REAL ESQ CON CALLE MINA PROVIDENCIA Y DEL MILAGRO NO. 17508, CHIHUAHUA, MEXICO",CHIHUAHUA,28.74374899,-106.1262375
PASEOS,"AV. CRISTOBAL COLON ESQ. CON CALLE PASEO DE BATOPILAS NO. 14535, CHIHUAHUA, MEXICO",CHIHUAHUA,28.71228518,-106.134272
PEMEX,"CALLE AGUSTIN MELGAR Y GRAL RINCON, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66774588,-106.0778041
PIMENTEL,"CALLE FRANCISCO PIMENTEL NO. 5501, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66978269,-106.1023183
PINABETE,"AV. TECNOLOGICO NO. 6514 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.67690801,-106.1020549
PINOS,"CALLE 92 # 1612 Y EXPROPIACION PETROLERA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59804526,-106.0998749
PLAN DE AYALA,"PERFIFERICO R ALMADA Y CALLE 15 DE ENERO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59583294,-105.9987161
PONCE DE LEON,"AV. DE LAS INDUSTRIAS (ALEJANDRO DUMAS) ESQ. CON CALLE CARLOS GREEN NO. 15110, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72514867,-106.1108585
PORTAL DEL VALLE,"PORTAL DEL VALLE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6020399,-105.9335344
PRIMERO DE MAYO,"CALLE PRIMERO DE MAYO NO. 2201 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.62595641,-106.0758074
PUERTA DE HIERRO,"PUERTA DE HIERRO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.74148859,-106.1397229
PUNTA ORIENTE,"PARQUES DE ORIENTE #9701 COL. PUNTA ORIENTE VI, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66407855,-105.9404148
PUNTA ALAMILLO,"PUNTA ALAMILLO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6621214,-105.9449618
QUINTA REAL,"AV, QUINTA REAL NO. 9418 Y PASEOS ECUESTRE , CHIHUAHUA, MEXICO",CHIHUAHUA,28.6749023,-105.9822077
QUINTAS,"PERIF. ORTIZ MENA Y 28, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62483351,-106.0993639
R. ALMADA,"PERIFERICO FCO. R. ALMADA Y CALLE PATRIA NUEVA NO. 5801, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59423075,-106.0676258
RANCHERIA,"CALLE 16 DE SEPTIEMBRE NO. 701 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.60687149,-106.0111855
REAL CAROLINAS,"AV. HIDROELECTRICA CHICOACEN Y CALLE GUILLERMO PRIETO LUJAN , CHIHUAHUA, MEXICO",CHIHUAHUA,28.74317599,-106.1378951
REAL DE MINAS,"AV. MINERAL LOS NOGALES # 4501 ESQ. PROL. H.C.M., CHIHUAHUA, MEXICO",CHIHUAHUA,28.73361558,-106.1043892
REFORMA,"AVE. REFORMA Y PROL. PACHECO # 701, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65144815,-106.069257
REVOLUCION,"AV. DE LAS INDUSTRIAS ESQ CON CALLE CD JIMENEZ NO. 10700, CHIHUAHUA, MEXICO",CHIHUAHUA,28.70186531,-106.0999556
REYES,"CALLE CD. JIMENEZ ESQ. CON CALLE PASCUAL OROZCO NO. 2101, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6990054,-106.1071286
RINCONADA,"CALLE BAHIA DE SAN QUINTIN # 9301 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.68471616,-106.1421356
RINCONES,"AV TOMAS VALLES VIVAR 6701-1 FRAC. RINCONES DE LAS LOMAS I, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6312812,-106.1282826
RIO AROS,"CALLE RIO AROS Y MIGUEL BARRAGAN NO. 6915, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68074309,-106.0988118
ROBINSON,"PERIF. LOMBARDO TOLEDANO NO. 203 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.65502545,-106.0518553
ROMA,"CALLE GARCIA SALINAS # 6320 ESQ. CALLE TASCATE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6736456,-106.1093568
ROMANZA,"BLVD ROMANZA #1500 FRACC ROMANCE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68468075,-106.0312896
ROSALES,"AV. PACHECO NO. 1013, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6467849,-106.0626213
ROSARIO,"CALLE MELCHOR GUASPE # 4410, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60965744,-106.0660786
SAN AGUSTIN,"29 DE NOV., CHIHUAHUA, MEXICO",,28.66521957,-106.0910919
SAN ANGEL,"PERIFERICO DE LA JUVENTUD  PLAZA SAN ANGEL S/N LAS MISIONES, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65151661,-106.1313395
SAN JUDAS,"CARRETERA CHIHUAHUA-DELICIAS KM 209+000, CHIHUAHUA, MEXICO",CHIHUAHUA,28.56023448,-105.9539851
SAN MARTIN,"AV. HOMERO Y AV. DE LAS INDUSTRIAS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.7116281,-106.1056483
SAN RAFAEL,"AV. VENUSTIANO CARRANZA NO. 4816, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62783011,-106.054467
SAN SEBASTIAN,"COLEGIO SAN ILDEFONSO S/N QUINTAS SAN SEBASTIAN, CHIHUAHUA, MEXICO",CHIHUAHUA,28.71076633,-106.153226
SANTA RITA,"CARRETERA CHIHUAHUA ALDAMA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67300213,-106.0261918
SANTUARIO,"AV TEOFILO BORUNDA , CHIHUAHUA, MEXICO",CHIHUAHUA,28.60307297,-106.1210235
SEMINARIO,"SEMINARIO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62518528,-106.0831839
